condition	mean_nuclear_wapl_fluorescence	normalised_wapl_fluorescence	figure_panel	mean_nuclear_sororin_fluorescence	normalised_sororin_fluorescence	mean_nuclear_smc4_fluorescence	normalised_smc4_fluorescence	mean_nuclear_nipbl_fluorescence	normalised_nipbl_fluorescence	mean_halo-tmr_fluorescence
wapl-dtag_plus_dtag	5.87654541283234	0.020957	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.78653113087675	0.019311	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.8015195727578	0.019585	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.90798901039703	0.021532	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.38160651303402	0.030188	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.90563296229989	0.021488	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.28391046975433	0.028403	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.00713671539123	0.023344	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.58745650173993	0.015673	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.16796971733824	0.026283	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.40110346661349	0.030545	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.20251937984496	0.026915	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.35355782519298	0.029676	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.04955647545831	0.024119	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.449358541526	0.031427	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.85931075410114	0.020642	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.17296358123531	0.026375	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.09983559524193	0.025038	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.97771717234326	0.022806	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.56882760722176	0.015332	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.6787135518414	0.035619	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.50788822072869	0.014218	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.10382919088249	0.025111	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.33884452794739	0.029407	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.26179086495872	0.027998	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.30254741949713	0.028743	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14690485778087	0.025898	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.15172280401205	0.025987	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.54080791426216	0.033098	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.43266181134735	0.031122	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.895806749681	0.021309	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.68975402003877	0.017543	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.31841922453495	0.029033	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.80590245417832	0.019666	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.82248241100494	0.019969	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.82551700757148	0.020024	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.67474664475486	0.017268	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.60654663355408	0.016022	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.24878310785861	0.027761	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.32796605559484	0.029208	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.41006105654367	0.030708	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.44669322242399	0.031378	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.26950042535715	0.028139	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.21867901708015	0.02721	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.68338325410129	0.017426	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.21707156927117	0.027181	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14119665121995	0.025794	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.79455157444399	0.019458	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.69153279658107	0.017575	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.69164889712308	0.017577	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.75943675304698	0.018816	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.58298837334869	0.015591	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.25908754623921	0.027949	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.45537798128431	0.031537	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.2694637740483	0.028139	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.47939242165376	0.031976	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.63097128740326	0.034746	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.44499430890286	0.031347	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.23394460019032	0.027489	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.73783512274754	0.018421	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.69129360065916	0.017571	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.46586334884207	0.01345	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.45345193105355	0.013223	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.73914087593432	0.018445	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.47669881139269	0.013648	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.36714766469508	0.029924	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.69547931743054	0.035925	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.42858871358049	0.031047	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.05965777262181	0.024304	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.59966818541997	0.034174	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.53857331216533	0.033057	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.90700198544011	0.021513	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.32361824222289	0.029128	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.33995613059097	0.011149	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.32357277659825	0.029128	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.53134686531347	0.014647	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.66293348793085	0.035331	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.78191176470588	0.037505	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.15070516751212	0.025968	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.86028786159955	0.02066	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.02750186428039	0.023716	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.66140120871039	0.035303	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.89000034374893	0.021203	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.28014466989518	0.028334	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.06461327335798	0.024394	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.62968541799432	0.016445	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.68688234057253	0.01749	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.35601875104638	0.011442	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.56073700122643	0.015184	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.59251873753696	0.034043	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.33198152185513	0.029281	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.22112984171921	0.027255	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.82736993625334	0.020058	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.67979171354183	0.035639	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.46066425002449	0.031633	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.95285912997085	0.022352	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.06546782044348	0.02441	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.50779317655373	0.032495	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.1607655167588	0.026152	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.21955285641987	0.045505	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.2	0.026869	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.06995156482861	0.024492	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.3994234649755	0.030514	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.48268818644522	0.032036	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.98809834355028	0.022996	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.46885710519378	0.031783	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.15498994602603	0.044324	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.60394906809374	0.034252	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.50755601875977	0.032491	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.50415430267062	0.032428	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.28795037444155	0.028477	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.98525019359121	0.022944	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.90051756007394	0.021395	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.46082911702301	0.031636	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.52479938535086	0.032806	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.93186490455213	0.040246	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.1890239299464	0.026668	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.31882403310975	0.029041	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.49272772400099	0.032219	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.80391347424042	0.037907	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.34686410647921	0.029553	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.46622166801144	0.031735	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.2604757673115	0.027974	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.32049151295534	0.029071	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.54100809298789	0.014824	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.61767386746878	0.016225	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.48505028083274	0.013801	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.42302380952381	0.030945	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.71352124271508	0.036255	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.92840413503473	0.021905	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.18425738318905	0.026581	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.7795101171459	0.019183	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.05144142877232	0.024154	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.52548330404218	0.032818	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.61960203217612	0.01626	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.68780922224421	0.017507	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.54325040660201	0.014865	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.1742713965449	0.00812	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.53789349808767	0.033045	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.63474878267729	0.034815	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.13770648030496	0.02573	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.19975316260413	0.026864	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.84049051365109	0.020298	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.38483165329493	0.030247	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.62232730263158	0.01631	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.3023504527414	0.02874	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.74275521673264	0.018511	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.87791004656074	0.020982	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.51123126291266	0.014279	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.96446906241556	0.022564	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.64797311061316	0.016779	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.66480706648071	0.017087	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.40826245443499	0.012397	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.52635858076685	0.014556	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.50948720443709	0.014248	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.9840549649987	0.022922	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.86951620479098	0.039106	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.25790153918458	0.027927	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.16395242451967	0.02621	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.42700473128715	0.031018	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.37653100588292	0.030096	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.48199848408287	0.032023	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.52594418170919	0.051105	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.65209564254062	0.016854	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.11383740943842	0.043572	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.2667317592757	0.028089	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.52291636257481	0.014493	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.76118654528622	0.018848	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.9049660593069	0.021476	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.87365236038894	0.020904	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.77804206309464	0.019156	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.71381108393706	0.017982	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.76499643548223	0.037196	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.98976762608925	0.023026	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.48204586602293	0.032024	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.12421140486536	0.025484	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.91423849004292	0.021646	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.60330650804759	0.015962	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.35935269918563	0.029782	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.48769044964697	0.013849	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.2609338639873	0.027983	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.17333644641606	0.008103	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.2830131445905	0.028386	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14605697566376	0.025883	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14206383108562	0.02581	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.19994060876021	0.026868	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.77508216812434	0.019102	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.32669030134211	0.029185	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.9450957115299	0.02221	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.59341187785525	0.015782	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.83364930543587	0.020173	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.57037980624183	0.015361	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.41109484882019	0.012449	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.31966443907294	0.029056	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.72507716294906	0.036466	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.68976337884827	0.035821	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.51445043612236	0.032617	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.22175965210013	0.027267	Appendix Fig. S1d							
wapl-dtag_plus_dtag	8.48273003592153	0.068593	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.70116367141775	0.036029	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.35152031071267	0.029638	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.15481609375817	0.026043	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.33745258209407	0.029381	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.04721081145443	0.024076	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.8457579723941	0.038672	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.7117821937099	0.017945	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.20193075415548	0.026904	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.37249703305305	0.0483	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.18343285533714	0.044844	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.21837726402592	0.027205	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14581848420052	0.025879	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.11490951606344	0.025314	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.1921130106916	0.026725	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.35683724114325	0.029736	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.10526315789474	0.025137	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.87790441823623	0.020982	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.69287231987638	0.035878	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.27295116986253	0.028202	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.18405381221266	0.026577	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.18039382222123	0.026511	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.56940628637951	0.033621	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.15068638250996	0.025968	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.89199949176231	0.021239	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.97841575859178	0.022819	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.92055373560182	0.021761	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.94812475101019	0.022265	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.75642627632988	0.018761	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.09558376867938	0.02496	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.81006386915776	0.019742	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.1847350212779	0.02659	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.85600157160631	0.020581	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.13890008328632	0.025752	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.81238594890511	0.019784	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.06333254043768	0.024371	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.7776596772635	0.019149	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.82454877643672	0.020006	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.20724863814295	0.027001	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.73355507166615	0.018343	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.63823454591707	0.016601	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.68804397617957	0.017511	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.78186841650837	0.019226	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.89988190836089	0.021383	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.8117903353578	0.019773	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.18378573360988	0.026573	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.44590490014246	0.031364	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.47465511283592	0.031889	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.24741694130222	0.027736	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.23043129209224	0.027425	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.99165299623661	0.023061	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.67030983009318	0.017187	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.69403470173509	0.017621	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.05169985152473	0.024158	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.99074735406792	0.023044	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.43735308994615	0.012929	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.13421677563107	0.025667	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.13049342474992	0.025598	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.42462790172085	0.030975	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.13356684951424	0.025655	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.99707409652846	0.02316	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14426997748159	0.02585	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.75820597268993	0.018794	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.18691040299091	0.02663	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.16309401357745	0.026194	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.43517795734087	0.031168	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.79927683217215	0.019544	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.75287609868667	0.018696	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.86043536754813	0.020662	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.78539444761052	0.019291	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.63556638246041	0.016552	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.62958165053722	0.016443	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.69472789115646	0.017633	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.32891419276129	0.010947	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.13625691130804	0.025704	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14554222826759	0.025874	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.80981517852646	0.019737	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.22242685144686	0.027279	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.00234078387714	0.023256	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.08722175190479	0.024808	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.00205651610938	0.023251	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.21683821855795	0.027177	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.44887223463285	0.031418	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.17286022536562	0.026373	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.22909880564604	0.027401	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.3065267360271	0.028816	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.05629452184328	0.024242	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.87245918027324	0.020882	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.78730697437638	0.019326	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.63187964197296	0.016485	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.67737530544775	0.017316	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.23435438956471	0.027497	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.40717011995638	0.012377	Appendix Fig. S1d							
