condition	mean_nuclear_wapl_fluorescence	normalised_wapl_fluorescence	figure_panel	mean_nuclear_sororin_fluorescence	normalised_sororin_fluorescence	mean_nuclear_smc4_fluorescence	normalised_smc4_fluorescence	mean_nuclear_nipbl_fluorescence	normalised_nipbl_fluorescence	mean_halo-tmr_fluorescence
wapl-dtag_plus_dtag	6.08673481835704	0.024799	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.88236073392065	0.021063	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.83473618392574	0.020193	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.67501925545571	0.017273	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.93401828434723	0.022007	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.93786279683377	0.022078	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.72152927786682	0.018123	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.56628081100996	0.015286	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.52663906456163	0.014561	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.54647510650869	0.014924	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.63579213965899	0.016556	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.74978289816477	0.01864	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.39452332657201	0.012146	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.16598784955289	0.007969	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.13198965913443	0.007348	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.12080185177097	0.025421	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.38153098420413	0.030187	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.96741193215514	0.022618	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.9200196070422	0.021751	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.09165320704098	0.024889	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.81275061301024	0.019791	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.86192823448349	0.02069	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.01625698324022	0.02351	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.67264292536499	0.01723	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.52493468462002	0.01453	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.434143839749	0.01287	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.34679001962433	0.029552	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.57639875952966	0.033749	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.86416518775177	0.039009	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.10823506224748	0.04347	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.09012672593153	0.043139	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.51678721455418	0.032659	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.76364188317438	0.055449	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.42237685739463	0.030934	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.09945716308709	0.043309	Appendix Fig. S1d							
wapl-dtag_plus_dtag	7.08257804632427	0.043001	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.78508623605005	0.037563	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.14334378717422	0.025833	Appendix Fig. S1d							
wapl-dtag_plus_dtag	8.02257922857352	0.060182	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.51470240068185	0.032621	Appendix Fig. S1d							
wapl-dtag_plus_dtag	5.81311706629055	0.019797	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.42215961927684	0.03093	Appendix Fig. S1d							
wapl-dtag_plus_dtag	6.31278678941985	0.02893	Appendix Fig. S1d							
