image_name	condition	mean_smc4_fluorescence	normalised_smc4_fluorescence	figure_panel	mean_h3s10p_fluorescence	normalised_h3s10p_fluorescence	mean_cyclinb1_fluorescence	normalised_cyclinb1_fluorescence
230316_2108_ctrl_2h_smc4_dep_rep2_hemi_stlc_60min_zoom5-02-47.czi #3.tif_registered.tif	prometa_120min_smc4_depletion	190.546298335588	0.107743	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep2_hemi_stlc_60min_zoom5-03-48.tif_registered.tif	prometa_120min_smc4_depletion	197.106950166452	0.111473	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-06-25.tif_registered.tif	prometa_240min_smc4_depletion	106.501429807728	0.059962	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-15-18-20.tif_registered.tif	prometa_240min_smc4_depletion	129.134184389787	0.072829	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-18-26.tif_registered.tif	prometa_240min_smc4_depletion	178.091113272205	0.100662	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-19-27.czi #1.tif_registered.tif	prometa_240min_smc4_depletion	116.892772911051	0.06587	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-19-27.czi #2.tif_registered.tif	prometa_240min_smc4_depletion	85.2984592598688	0.047908	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-20-28.czi #1.tif_registered.tif	prometa_240min_smc4_depletion	145.323817233744	0.082033	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-20-28.czi #2.tif_registered.tif	prometa_240min_smc4_depletion	165.923245344792	0.093744	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-20-28.czi #3.tif_registered.tif	prometa_240min_smc4_depletion	134.838977912516	0.076072	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-20-28.czi #4.tif_registered.tif	prometa_240min_smc4_depletion	146.115787753101	0.082483	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-20-28.czi #5.tif_registered.tif	prometa_240min_smc4_depletion	238.788112342137	0.135169	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-20-28.czi #6.tif_registered.tif	prometa_240min_smc4_depletion	122.37541717233	0.068987	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep1_hemi_stlc_60min_zoom5-20-28.czi #7.tif_registered.tif	prometa_240min_smc4_depletion	178.955960671856	0.101153	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-01-39.czi #1.tif_registered.tif	prometa_240min_smc4_depletion	79.4201069032185	0.044566	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-01-39.czi #2.tif_registered.tif	prometa_240min_smc4_depletion	74.241020549128	0.041622	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-03-37.czi #1.tif_registered.tif	prometa_240min_smc4_depletion	105.110842703209	0.059171	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-03-37.czi #2.tif_registered.tif	prometa_240min_smc4_depletion	88.2419882004266	0.049581	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-03-37.czi #3.tif_registered.tif	prometa_240min_smc4_depletion	134.665594894616	0.075974	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-04-38.tif_registered.tif	prometa_240min_smc4_depletion	274.994839299713	0.155753	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-06-29-30.tif_registered.tif	prometa_240min_smc4_depletion	99.3555566847909	0.0559	Fig4d				
230316_2108_ctrl_4h_smc4_dep_rep2_hemi_stlc_60min_zoom5-07-Split Scenes-33-36.tif_registered.tif	prometa_240min_smc4_depletion	120.113525100263	0.067701	Fig4d				
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-01-84.czi #1.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	33.7695618077608	0.013433		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-01-84.czi #2.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	37.9775249617787	0.015117		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-04-85.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	42.7117309283892	0.017013		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #1.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	38.322470483174	0.015255		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #2.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	40.4481273057862	0.016106		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #3.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	35.7760826020382	0.014236		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #5.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	32.2997112688439	0.012844		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-08-86.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	33.7695829663181	0.013433		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #1.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	30.4680509930937	0.012111		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #2.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	29.9789116618468	0.011915		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-03-88.czi #2.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	36.0450024429399	0.014344		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #4.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	39.1774632351428	0.015598		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-03-88.czi #1.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	31.9421726266694	0.012701		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-01-90.czi #2.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	33.1228365518911	0.013174		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-01-90.czi #3.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	28.8707863181352	0.011471		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-100.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	36.2811219516811	0.014438		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-92.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	28.2884882454615	0.011238		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-93.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	35.9883000864198	0.014321		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-95.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	29.856973330071	0.011866		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-96.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	24.8433852070284	0.009859		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-97.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	35.603237039795	0.014167		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-98.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	34.0675693769571	0.013552		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-99.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	29.4041427182435	0.011685		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #02.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	39.1688871678406	0.015594		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #04.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	34.0190200881541	0.013532		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #05.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	31.3190565713929	0.012451		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #06.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	30.758906313437	0.012227		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #07.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	27.2103846762704	0.010807		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #08.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	31.1100214428427	0.012368		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #09.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	27.1178877166982	0.01077		
220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #10.tif_registered.tif	wild_type_g2_stain_h3s10p			fig_ev2b	39.110404010769	0.015571		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-05.czi #5.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	558.64710546131	0.22357		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-05.czi #6.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1049.7879406157	0.420201		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-05.czi #7.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	851.703130761238	0.340896		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-05.czi #8.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1117.36083340107	0.447254		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-04-01.czi #1.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	476.00533773007	0.190484		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-04-01.czi #2.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1474.11491140563	0.590082		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-04-01.czi #3.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1018.81448798191	0.4078		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-05-02.czi #1.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1131.15505468149	0.452777		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-05-02.czi #2.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1563.72401893231	0.625958		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-05-02.czi #3.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1396.35070945284	0.558949		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-05-02.czi #4.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	898.588094666163	0.359667		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-05-02.czi #5.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	818.442713061213	0.327581		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-05-02.czi #6.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1829.48749815161	0.732358		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep4-05-02.czi #7.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	2207.38765739769	0.883652		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-01-03.czi #1.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1466.21269100489	0.586919		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-01-03.czi #2.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	826.324503361917	0.330736		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-01-03.czi #3.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	689.240107443274	0.275854		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-01-03.czi #4.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	715.88500278323	0.286521		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-01-03.czi #5.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	756.280513232523	0.302694		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-02-04.czi #1.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1126.1207869906	0.450761		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-02-04.czi #2.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	664.552203846973	0.26597		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep1-02-04.czi #3.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1465.723059252	0.586723		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-05.czi #2.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	605.580379563283	0.24236		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-05.czi #4.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	926.668524168676	0.370909		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #8.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1463.52552050895	0.585843		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #7.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1199.06283419687	0.479964		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #6.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1420.20667277348	0.5685		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #5.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1130.72444823558	0.452604		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #4.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	792.645535007241	0.317252		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #3.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	1012.68945606922	0.405348		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #2.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	968.43952888844	0.387633		
220919_5618_wt_hemi_prophase_60min_stlc_h3s10p_cycb1_zoom5_rep3-01-06.czi #1.tif_registered.tif	wild_type_prophase_stain_h3s10p			fig_ev2b	706.700207621047	0.282844		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep1-12-07.czi #5.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2104.80569419467	0.842583		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #01.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	3117.60803310454	1.248063		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #02.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2826.75396710488	1.131618		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #03.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	3116.46690970275	1.247606		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #04.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2917.97000079101	1.168137		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #05.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	3415.30943855759	1.36725		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #06.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	3180.56682075909	1.273269		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #07.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2262.09235222206	0.905553		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #08.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2395.34465210955	0.958901		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #09.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2540.02726558472	1.016826		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #10.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	3551.47693978065	1.421765		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #01.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2250.53204318157	0.900925		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #02.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2792.7141391301	1.11799		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #03.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2579.29854830571	1.032548		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #04.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2725.69598735517	1.091159		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #05.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2754.42202776008	1.10266		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #06.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	1825.2559866847	0.730663		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #07.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2373.42042510912	0.950124		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #08.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2107.60672091769	0.843704		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #09.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2053.49551171056	0.82204		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #10.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2652.3685365586	1.061802		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #11.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2733.43440600378	1.094257		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #12.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2641.27581431636	1.057361		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #13.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2880.70346220427	1.153217		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #14.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	3035.43942002315	1.215167		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #15.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2919.42371768568	1.168719		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #16.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2370.38082936778	0.948907		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #17.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	3127.42722296877	1.251994		
220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep3-03-09.czi #18.tif_registered.tif	wild_type_prometa_stain_h3s10p			fig_ev2b	2957.27020091381	1.183871		
