image_name	condition	mean_smc4_fluorescence	normalised_smc4_fluorescence	figure_panel	mean_h3s10p_fluorescence	normalised_h3s10p_fluorescence	mean_cyclinb1_fluorescence	normalised_cyclinb1_fluorescence
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-02-02.czi #1.tif_registered.tif	ctrl_60min_stlc	1862.6313750659	1.058347	Fig4d				
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-02-02.czi #2.tif_registered.tif	ctrl_60min_stlc	1691.49286296364	0.961053	Fig4d				
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-04-06.czi #1.tif_registered.tif	ctrl_60min_stlc	1987.10183440372	1.129111	Fig4d				
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-04-06.czi #2.tif_registered.tif	ctrl_60min_stlc	1635.10949515212	0.928998	Fig4d				
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-05-03.tif_registered.tif	ctrl_60min_stlc	2472.3581726842	1.404986	Fig4d				
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-06-04.tif_registered.tif	ctrl_60min_stlc	1651.44340713273	0.938284	Fig4d				
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-06-12.tif_registered.tif	ctrl_60min_stlc	1665.89497246403	0.9465	Fig4d				
230316_2108_ctrl_rep1_hemi_stlc_60min_zoom5-07-05.tif_registered.tif	ctrl_60min_stlc	1736.28723581295	0.986519	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-02-07.tif_registered.tif	ctrl_60min_stlc	1904.16149549251	1.081958	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-02-10.tif_registered.tif	ctrl_60min_stlc	1814.32082240638	1.030882	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-03-11.tif_registered.tif	ctrl_60min_stlc	2067.0275133877	1.17455	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-04-08.czi #1.tif_registered.tif	ctrl_60min_stlc	2084.90137924607	1.184711	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-04-08.czi #2.tif_registered.tif	ctrl_60min_stlc	1180.79485453234	0.670713	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-05-09.czi #1.tif_registered.tif	ctrl_60min_stlc	1015.59263510636	0.576794	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-05-09.czi #2.tif_registered.tif	ctrl_60min_stlc	1641.37716080657	0.932561	Fig4d				
230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-07-13-14.tif_registered.tif	ctrl_60min_stlc	1749.59588340009	0.994085	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-09-42.czi #1.tif_registered.tif	prometa_120min_smc4_depletion	228.847149066735	0.129517	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-09-42.czi #2.tif_registered.tif	prometa_120min_smc4_depletion	197.599056738602	0.111752	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-09-42.czi #3.tif_registered.tif	prometa_120min_smc4_depletion	449.521714244831	0.254974	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-09-42.czi #4.tif_registered.tif	prometa_120min_smc4_depletion	248.424763740754	0.140648	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep2_hemi_stlc_60min_zoom5-04-43-45.tif_registered.tif	prometa_120min_smc4_depletion	214.868667290469	0.12157	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-04-40.tif_registered.tif	prometa_120min_smc4_depletion	290.567652901944	0.164606	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #1.tif_registered.tif	prometa_120min_smc4_depletion	180.848756762871	0.10223	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #2.tif_registered.tif	prometa_120min_smc4_depletion	250.204205993733	0.141659	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #3.tif_registered.tif	prometa_120min_smc4_depletion	191.185270950948	0.108106	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #4.tif_registered.tif	prometa_120min_smc4_depletion	174.060331343033	0.09837	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep2_hemi_stlc_60min_zoom5-01-46.czi #2.tif_registered.tif	prometa_120min_smc4_depletion	279.346050523141	0.158227	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep2_hemi_stlc_60min_zoom5-02-47.czi #1.tif_registered.tif	prometa_120min_smc4_depletion	135.058669243512	0.076197	Fig4d				
230316_2108_ctrl_2h_smc4_dep_rep2_hemi_stlc_60min_zoom5-02-47.czi #2.tif_registered.tif	prometa_120min_smc4_depletion	156.32554003136	0.088288	Fig4d				
