image_name	condition	sister_chromatid_peak_to_peak_distance	radial_displacement	figure_panel
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #03.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6041212121212122	-0.0377575757575757	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #03.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.643151515151515	0.0153131313131312	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #03.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6124242424242424	-0.0284848484848485	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #03.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5811717171717172	-0.0544848484848484	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #03.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5008080808080808	-0.0406060606060605	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #05.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.532888888888889	-0.0242222222222222	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #05.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5086666666666668	0.0484444444444444	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #17.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.7156969696969697	0.1606666666666666	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #17.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5834242424242424	0.0448787878787879	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #17.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4900202020202021	-0.0306262626262625	fig3a, d, e
Scc1_EdU_Hoechst_220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #17.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6125252525252525	-0.0459393939393939	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep1_prophase_axes_60min_stlc_hemi_zoom5-01-106.czi #2.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.3879999999999999	-0.0117575757575758	fig3a, d, e
