image_name	condition	length_chromatin	length_0_segment	length_1_segment	length_2_segment	percentage_0_segments_labelled	percentage_1_segment_labelled	percentage_2_segments_labelled	figure_panel
211108_5325_WT_12h_release_hemi_60min_STLC_zoom5_prometa_rep1-03-04.czi #8.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	8.745	0.0	0.0	100.0	0.0	fig_ev1c
211108_5325_WT_12h_release_hemi_60min_STLC_zoom5_prometa_rep2-05-05.czi #1.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	18.196	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c1_rep1_prometa_60min_stlc_hemi_zoom5-07-37-41.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	18.968	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c1_rep1_prometa_60min_stlc_hemi_zoom5-08-45.czi #1.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	14.387	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c1_rep2_prometa_60min_stlc_hemi_zoom5-01-48-49.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	21.682	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c2_rep1_prometa_60min_stlc_hemi_zoom5-06-75.czi #6.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	14.6	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c2_rep2_prometa_60min_stlc_hemi_zoom5-03-77.czi #1.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	16.436	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c2_rep2_prometa_60min_stlc_hemi_zoom5-03-77.czi #4.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	16.361	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c2_rep2_prometa_60min_stlc_hemi_zoom5-03-77.czi #5.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	11.424	0.0	0.0	100.0	0.0	fig_ev1c
220207_5389_WT_c2_rep2_prometa_60min_stlc_hemi_zoom5-04-78.czi #2.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	21.23	0.0	0.0	100.0	0.0	fig_ev1c
220405_wt_prometa_rep2_hemi_stain_smc4_cycb1_zoom4_8-02-148.czi #2.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	22.452	0.0	0.0	100.0	0.0	fig_ev1c
220405_wt_prometa_rep2_hemi_stain_smc4_cycb1_zoom4_8-02-148.czi #4.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	14.349	0.0	0.0	100.0	0.0	fig_ev1c
220530_5517_WT_hemi_15h_G2_prometa_rep2_stlc-01-09-15.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	13.752	0.0	0.0	100.0	0.0	fig_ev1c
220530_5517_WT_hemi_15h_G2_prometa_rep4_stlc-05-07.czi #3.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	21.084	0.0	0.0	100.0	0.0	fig_ev1c
220530_5517_WT_hemi_15h_G2_prometa_rep4_stlc-05-07.czi #5.tif_registered.tif	wt_prometa_one_sister_labelled	0.0	0.0	21.089	0.0	0.0	100.0	0.0	fig_ev1c
