image_name	condition	spearman_correlation_coefficient	separation_score	figure_panel
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-03-05.czi #1.tif_registered.tif	wt_g2_one_sister_labelled	0.708808041042204	0.46633	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-03-05.czi #2.tif_registered.tif	wt_g2_one_sister_labelled	0.707079890896378	0.470873	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-03-05.czi #3.tif_registered.tif	wt_g2_one_sister_labelled	0.766762924915025	0.313978	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-03-05.czi #4.tif_registered.tif	wt_g2_one_sister_labelled	0.705690022692521	0.474527	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-03-05.czi #5.tif_registered.tif	wt_g2_one_sister_labelled	0.732940703820663	0.40289	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-03-05.czi #6.tif_registered.tif	wt_g2_one_sister_labelled	0.767203922559814	0.312818	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-05-09.tif_registered.tif	wt_g2_one_sister_labelled	0.699055263158557	0.491968	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-07-10.tif_registered.tif	wt_g2_one_sister_labelled	0.72058499600518	0.435371	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-08-11.tif_registered.tif	wt_g2_one_sister_labelled	0.687862718474682	0.521391	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-10-12.czi #1.tif_registered.tif	wt_g2_one_sister_labelled	0.689579313680437	0.516879	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1_czi-10-12.czi #2.tif_registered.tif	wt_g2_one_sister_labelled	0.747585789117685	0.364391	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep2_czi-01-15-18.tif_registered.tif	wt_g2_one_sister_labelled	0.745516540864821	0.36983	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep2_czi-01-16-19.tif_registered.tif	wt_g2_one_sister_labelled	0.708356848472629	0.467516	Fig1e, Fig EV1i
211110_5325_WT_15h_release_ctrl_hemi_zoom4_8_stain_scc1_cycb1_g2_rep2_czi-01-17-20.tif_registered.tif	wt_g2_one_sister_labelled	0.728387823146683	0.414859	Fig1e, Fig EV1i
