Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Characteristics [Cell Cycle Phase],Term Source 3 REF,Term Source 3 Accession,Experimental Condition [Sister Chromatid Labelling],Experimental Condition [Genome Editing],Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Assay Name,Source Name,Image File,Comment [Image File Path],Comment [Image File Type],Channels,Processed Data File,,,,,,,
Ctrl_60min,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-03-11.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_60min_stlc_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_60min_stlc_one_sister_cell_11,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-03-11.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_60min_stlc_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_60min,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-04-08.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_60min_stlc_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_60min_stlc_one_sister_cell_12,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-04-08.czi #1.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_60min_stlc_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_60min,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-04-08.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_60min_stlc_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_60min_stlc_one_sister_cell_13,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-04-08.czi #2.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_60min_stlc_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_60min,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-05-09.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_60min_stlc_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_60min_stlc_one_sister_cell_14,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-05-09.czi #1.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_60min_stlc_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_60min,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-05-09.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_60min_stlc_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_60min_stlc_one_sister_cell_15,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-05-09.czi #2.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_60min_stlc_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_60min,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-07-13-14.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_60min_stlc_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_60min_stlc_one_sister_cell_16,230316_2108_ctrl_rep2_hemi_stlc_60min_zoom5-07-13-14.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_60min_stlc_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_120min,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-04-40.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_120min_smc4_dep_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_120min_smc4_dep_one_sister_cell_1,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-04-40.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_120min_smc4_dep_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_120min,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_120min_smc4_dep_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_120min_smc4_dep_one_sister_cell_2,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #1.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_120min_smc4_dep_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_120min,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_120min_smc4_dep_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_120min_smc4_dep_one_sister_cell_3,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #2.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_120min_smc4_dep_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
Ctrl_120min,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #3.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID_WAPL-dTAG cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA. WAPL tagged with dTAG (FKBP12F36V) for acute depletion upon addition of dTAG-7.,ctrl_120min_smc4_dep_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,ctrl_120min_smc4_dep_one_sister_cell_4,230316_2108_ctrl_2h_smc4_dep_rep1_hemi_stlc_60min_zoom5-05-41.czi #3.tif_registered.tif,idr_upload/images/experiment3/maintenance/ctrl_120min_smc4_dep_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment3_processed_sister_chromatid_labelling.txt,,,,
